latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,type
36.234,-118.43,321.9,1,1,2017-10-07,1845,Terra,MODIS,44,6.1,302.5,14.5,0
36.258,-118.421,319.4,4.7,2,2017-10-15,1756,Terra,MODIS,72,6.1,294.9,138.7,0
36.259,-118.425,318.2,4.7,2,2017-10-15,1756,Terra,MODIS,44,6.1,294.4,118.3,0
36.256,-118.42,345.1,1.1,1,2017-10-15,2112,Aqua,MODIS,92,6.1,298.3,50,0
36.272,-118.429,326.3,1.1,1,2017-10-16,1839,Terra,MODIS,71,6.1,293,23.1,0
36.271,-118.418,331.1,1.1,1,2017-10-16,1839,Terra,MODIS,83,6.1,292.7,29.9,0
36.255,-118.412,300,3,1.6,2017-10-16,0913,Aqua,MODIS,5,6.1,281.5,31.6,0
36.256,-118.428,327,4,1.9,2017-10-16,2017,Aqua,MODIS,77,6.1,278.8,192.8,0
36.253,-118.428,330.3,1.4,1.2,2017-10-17,0542,Terra,MODIS,100,6.1,281.1,49.7,0
36.412,-119.232,339.2,1.7,1.3,2017-09-08,1916,Terra,MODIS,87,6.1,302.5,73.2,0
36.411,-119.23,320.7,1.2,1.1,2017-09-08,2053,Aqua,MODIS,59,6.1,305.8,9.4,0
36.408,-119.244,328.4,1.2,1.1,2017-09-08,2053,Aqua,MODIS,76,6.1,308.1,20.6,0
36.266,-119.097,353.1,1,1,2017-09-12,1852,Terra,MODIS,96,6.1,308.4,53.8,0
36.312,-119.129,316.5,3.4,1.7,2017-09-13,1934,Terra,MODIS,43,6.1,300.2,27,0
36.315,-119.117,320.5,1.1,1,2017-09-15,2059,Aqua,MODIS,59,6.1,306.7,7.2,0
36.313,-119.129,321.3,1.1,1,2017-09-15,2059,Aqua,MODIS,58,6.1,306.3,7.8,0
36.316,-119.106,320,1.7,1.3,2017-09-16,1827,Terra,MODIS,65,6.1,302.1,17.5,0
36.335,-119.125,317.1,2.2,1.5,2017-09-19,2035,Aqua,MODIS,68,6.1,295.5,24.1,0
36.431,-119.168,323.7,2.7,1.6,2017-09-22,1928,Terra,MODIS,79,6.1,293.8,75.1,0
36.339,-119.111,317.7,2.7,1.6,2017-09-22,1928,Terra,MODIS,71,6.1,294.1,48.8,0
36.338,-119.124,315.4,1.4,1.2,2017-09-23,1833,Terra,MODIS,65,6.1,298,12.6,0
36.336,-119.109,323.4,1.4,1.2,2017-09-23,1833,Terra,MODIS,77,6.1,298.5,24.2,0
36.317,-119.104,325.4,1.7,1.3,2017-10-02,1827,Terra,MODIS,79,6.1,298.9,36.2,0
36.27,-119.33,311.6,1.4,1.2,2017-10-03,1910,Terra,MODIS,57,6.1,298.8,8.2,0
36.314,-119.211,315.7,1.1,1,2017-10-05,1857,Terra,MODIS,43,6.1,303.5,6.8,0
36.27,-119.335,324,1,1,2017-10-05,1858,Terra,MODIS,76,6.1,305,15.2,0
36.297,-119.168,336.1,1.1,1,2017-11-06,1857,Terra,MODIS,90,6.1,293.6,38.3,0
36.236,-119.113,312,2.5,1.5,2017-12-21,2142,Aqua,MODIS,72,6.1,286.9,42.4,0
36.229,-119.121,302.7,2.5,1.5,2017-12-21,2142,Aqua,MODIS,53,6.1,286.2,20.5,0
36.387,-119.311,303.9,2.5,1.5,2017-12-21,2143,Aqua,MODIS,58,6.1,286.8,23.2,0
36.782,-119.503,319.9,1.6,1.2,2017-11-27,1916,Terra,MODIS,80,6.1,288,37.5,0
36.782,-119.534,316.3,1.1,1,2017-12-04,2100,Aqua,MODIS,77,6.1,289.6,15.5,0
36.996,-119.708,303.3,1.1,1,2018-02-12,1845,Terra,MODIS,36,6.1,288.5,4.4,0
36.799,-119.611,331.9,1.1,1,2018-02-12,1845,Terra,MODIS,83,6.1,288.3,31.8,0
36.79,-119.613,324,1.1,1,2018-02-12,1845,Terra,MODIS,78,6.1,291.2,22.1,0
36.793,-119.607,311,1,1,2018-02-13,2106,Aqua,MODIS,70,6.1,298.1,5.8,0
36.791,-119.618,313.7,1,1,2018-02-13,2106,Aqua,MODIS,73,6.1,297.7,7.9,0
36.867,-119.69,304.5,1.3,1.1,2018-02-24,1909,Terra,MODIS,59,6.1,291.5,5.2,0
34.252,-118.346,332.1,2.8,1.6,2017-09-02,1027,Aqua,MODIS,100,6.1,280.1,123.6,0
34.298,-118.328,367.4,1.4,1.2,2017-12-05,1827,Terra,MODIS,100,6.1,297,172.8,0
34.291,-118.363,330.2,1.4,1.2,2017-12-05,1827,Terra,MODIS,70,6.1,290.9,39.1,0
34.288,-118.331,394.5,1.4,1.2,2017-12-05,1827,Terra,MODIS,100,6.1,307.5,367.4,0
34.281,-118.365,335.1,1.4,1.2,2017-12-05,1827,Terra,MODIS,83,6.1,292.2,54.9,0
34.275,-118.357,344,1.4,1.2,2017-12-05,1827,Terra,MODIS,93,6.1,295.5,80.7,0
34.273,-118.341,348.3,1.4,1.2,2017-12-05,1827,Terra,MODIS,95,6.1,297.9,94.5,0
34.264,-118.327,337.2,2.7,1.6,2017-12-05,2142,Aqua,MODIS,90,6.1,294.2,151.7,0
34.261,-118.356,382.1,2.7,1.6,2017-12-05,2142,Aqua,MODIS,100,6.1,299.6,674.4,0
34.28,-118.301,315,2.7,1.6,2017-12-05,2142,Aqua,MODIS,69,6.1,293.1,48.9,0
34.294,-118.306,342.6,2.7,1.6,2017-12-05,2142,Aqua,MODIS,84,6.1,292.6,190.4,0
34.306,-118.336,412.9,2.7,1.6,2017-12-05,2142,Aqua,MODIS,100,6.1,303.5,1439.8,0
34.322,-118.309,317.6,2.7,1.6,2017-12-05,2142,Aqua,MODIS,67,6.1,289.8,57.1,0
34.32,-118.337,367.6,2.7,1.6,2017-12-05,2142,Aqua,MODIS,100,6.1,296.7,452.8,0
34.296,-118.313,348.5,2.7,1.6,2017-12-05,2142,Aqua,MODIS,95,6.1,293.1,245.6,0
34.294,-118.338,357.9,2.7,1.6,2017-12-05,2142,Aqua,MODIS,99,6.1,298.3,321.5,0
34.31,-118.314,400.9,2.7,1.6,2017-12-05,2142,Aqua,MODIS,100,6.1,295.2,1113.1,0
34.325,-118.314,328.7,2.7,1.6,2017-12-05,2142,Aqua,MODIS,86,6.1,290.7,111.5,0
34.323,-118.342,355.9,2.7,1.6,2017-12-05,2142,Aqua,MODIS,98,6.1,295.7,313.5,0
34.261,-118.373,329.8,2.3,1.5,2017-12-06,0529,Terra,MODIS,100,6.1,286.6,104.2,0
34.336,-118.341,323.3,2.3,1.5,2017-12-06,0529,Terra,MODIS,100,6.1,281.5,81.4,0
34.339,-118.32,300,2.3,1.5,2017-12-06,0529,Terra,MODIS,9,6.1,279.2,22.7,0
34.344,-118.355,340.5,1.7,1.3,2017-12-06,1910,Terra,MODIS,89,6.1,295.7,88.3,0
34.333,-118.358,355.8,1.7,1.3,2017-12-06,1910,Terra,MODIS,98,6.1,301.1,157.2,0
34.329,-118.339,330.2,1.7,1.3,2017-12-06,1910,Terra,MODIS,52,6.1,297.7,52.7,0
34.325,-118.321,324.6,1.7,1.3,2017-12-06,1910,Terra,MODIS,41,6.1,298.8,40.3,0
34.322,-118.304,328.8,1.7,1.3,2017-12-06,1910,Terra,MODIS,83,6.1,295.9,54.1,0
34.337,-118.34,352.4,1,1,2017-12-06,0945,Aqua,MODIS,100,6.1,288.6,76.5,0
34.336,-118.329,301.1,1,1,2017-12-06,0945,Aqua,MODIS,37,6.1,282.4,8.1,0
34.325,-118.32,347.4,1,1,2017-12-06,0945,Aqua,MODIS,100,6.1,284.1,64.3,0
34.323,-118.308,333.8,1,1,2017-12-06,0945,Aqua,MODIS,100,6.1,281.9,39.8,0
34.267,-118.372,321.8,1,1,2017-12-06,0945,Aqua,MODIS,100,6.1,284.7,23.4,0
34.26,-118.385,300.3,1,1,2017-12-06,0945,Aqua,MODIS,25,6.1,281.9,7,0
34.309,-118.307,395.9,1.4,1.2,2017-12-06,2047,Aqua,MODIS,100,6.1,302.6,385,0
34.332,-118.363,348.5,1.5,1.2,2017-12-06,2047,Aqua,MODIS,95,6.1,302,94.2,0
34.323,-118.305,329.3,1.2,1.1,2017-12-07,0612,Terra,MODIS,100,6.1,289,36.9,0
34.365,-119.427,348.7,1.1,1,2017-12-07,0612,Terra,MODIS,100,6.1,292.1,64.7,0
34.459,-119.36,369.9,2.6,1.6,2017-12-07,1815,Terra,MODIS,100,6.1,301.6,470.4,0
34.487,-119.369,387.1,1.6,1.3,2017-12-08,0933,Aqua,MODIS,100,6.1,295.8,380.7,0
34.375,-119.379,309.3,1.6,1.3,2017-12-08,0933,Aqua,MODIS,76,6.1,283.4,22.8,0
34.359,-119.36,342.9,1.1,1,2017-12-09,2117,Aqua,MODIS,88,6.1,294,42.7,0
34.459,-119.427,346.5,1.1,1,2017-12-09,2117,Aqua,MODIS,69,6.1,304.6,52.9,0
34.517,-119.389,415.9,1,1,2017-12-10,1845,Terra,MODIS,100,6.1,298.9,366.5,0
34.524,-119.367,339.6,4.1,1.9,2017-12-10,2022,Aqua,MODIS,51,6.1,271,302.8,0
34.551,-119.376,380.5,2.9,1.6,2017-12-11,1928,Terra,MODIS,100,6.1,290.4,713.4,0
34.561,-119.435,325.1,1.4,1.2,2017-12-12,1833,Terra,MODIS,69,6.1,301.4,29.1,0
34.568,-119.339,359,1.3,1.1,2017-12-13,2053,Aqua,MODIS,99,6.1,291.9,122.8,0
34.572,-119.339,300.9,3.3,1.7,2017-12-15,0523,Terra,MODIS,18,6.1,282.8,37.6,0
35.933,-119.267,315.2,1,1,2017-11-15,1851,Terra,MODIS,71,6.1,295.9,10.3,0
35.728,-119.264,315.6,1.4,1.2,2017-12-22,1910,Terra,MODIS,38,6.1,286,22.1,0
34.372,-119.256,345.5,1.6,1.3,2017-12-05,1827,Terra,MODIS,53,6.1,295.2,84.3,0
34.453,-119.123,354.3,2.4,1.5,2017-12-05,2142,Aqua,MODIS,98,6.1,298.4,212.9,0
34.411,-119.25,340.8,2.4,1.5,2017-12-05,2142,Aqua,MODIS,49,6.1,295.2,138.6,0
34.32,-119.321,363.2,2.6,1.6,2017-12-06,0529,Terra,MODIS,100,6.1,289.4,402.9,0
34.434,-119.165,323.3,1.1,1.1,2017-12-06,0945,Aqua,MODIS,65,6.1,282.4,25.6,0
34.497,-119.26,500,1.1,1,2017-12-07,0612,Terra,MODIS,100,6.1,335,1772.7,0
34.523,-119.294,341.7,1.1,1,2017-12-08,1858,Terra,MODIS,92,6.1,292,47.4,0
34.521,-119.282,430.5,1.1,1,2017-12-08,1858,Terra,MODIS,100,6.1,310.6,542.9,0
34.432,-118.962,328.5,1,1,2017-12-11,2105,Aqua,MODIS,83,6.1,298,22.3,0
34.547,-119.212,322,1.9,1.3,2017-12-14,2136,Aqua,MODIS,38,6.1,290.5,37.3,0
34.432,-118.939,313.5,1.9,1.4,2017-12-15,2041,Aqua,MODIS,49,6.1,299.8,20.4,0
36.154,-118.74,331.4,2.1,1.4,2017-09-01,0530,Terra,MODIS,95,6.1,288.9,86,0
36.102,-118.693,309,1.2,1.1,2017-09-02,0613,Terra,MODIS,72,6.1,294.1,8.9,0
36.098,-118.718,362,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,301.4,111.9,0
36.113,-118.682,306.1,1.2,1.1,2017-09-02,0613,Terra,MODIS,37,6.1,293.8,7,0
36.111,-118.695,350.6,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,299.3,77.8,0
36.107,-118.732,305.3,1.2,1.1,2017-09-02,0613,Terra,MODIS,63,6.1,294.5,4.8,0
36.115,-118.688,340.9,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,297.3,54.6,0
36.126,-118.676,336.1,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,294.7,45.7,0
36.125,-118.69,315.2,1.2,1.1,2017-09-02,0613,Terra,MODIS,91,6.1,293,14.5,0
36.123,-118.702,313.1,1.2,1.1,2017-09-02,0613,Terra,MODIS,81,6.1,294.2,11.8,0
36.119,-118.738,325.2,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,297.2,24.9,0
36.13,-118.728,344.5,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,296.8,60.6,0
36.129,-118.74,320.7,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,296.7,18.1,0
36.138,-118.741,312.4,1.2,1.1,2017-09-02,0613,Terra,MODIS,85,6.1,298.1,8.8,0
36.148,-118.741,310.8,1.2,1.1,2017-09-02,0613,Terra,MODIS,70,6.1,298.7,7.8,0
36.145,-118.766,376.1,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,306.8,167.4,0
36.169,-118.644,362.4,1.2,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,299,116.2,0
36.165,-118.657,335.9,2.4,1.5,2017-09-02,1815,Terra,MODIS,76,6.1,309.2,102.4,0
36.158,-118.749,355.7,2.5,1.5,2017-09-02,1815,Terra,MODIS,97,6.1,307.7,237.3,0
36.163,-118.751,326.4,2.5,1.5,2017-09-02,1815,Terra,MODIS,50,6.1,306,47.2,0
36.15,-118.758,346.9,2.5,1.5,2017-09-02,1815,Terra,MODIS,91,6.1,306.6,167.6,0
36.176,-118.639,315.8,2.4,1.5,2017-09-02,1027,Aqua,MODIS,45,6.1,294.5,42.1,0
36.152,-118.77,360.7,2.3,1.5,2017-09-02,1027,Aqua,MODIS,100,6.1,300.7,292.5,0
36.115,-118.665,309.9,2.4,1.5,2017-09-02,1027,Aqua,MODIS,26,6.1,292.5,26.9,0
36.112,-118.699,330.8,2.3,1.5,2017-09-02,1027,Aqua,MODIS,100,6.1,296.9,94.1,0
36.159,-118.767,338.3,1.7,1.3,2017-09-02,2130,Aqua,MODIS,80,6.1,303.4,65.4,0
36.135,-118.661,321.5,3.3,1.7,2017-09-03,0518,Terra,MODIS,89,6.1,294.6,96.8,0
36.187,-118.633,331.7,1.1,1,2017-09-03,1858,Terra,MODIS,71,6.1,293.6,30.1,0
36.15,-118.792,330,1.1,1,2017-09-03,1858,Terra,MODIS,74,6.1,307.3,18.1,0
36.119,-118.668,395.5,1.1,1,2017-09-03,1858,Terra,MODIS,100,6.1,307,249.2,0
36.117,-118.656,361.8,1.1,1,2017-09-03,1858,Terra,MODIS,100,6.1,300.4,94.3,0
36.122,-118.739,326,1.1,1,2017-09-03,1858,Terra,MODIS,52,6.1,298.5,16.5,0
36.105,-118.696,340,1.1,1,2017-09-03,1858,Terra,MODIS,58,6.1,299.8,37,0
36.103,-118.685,339.4,1.1,1,2017-09-03,1858,Terra,MODIS,44,6.1,298.3,36,0
36.106,-118.739,337.2,1.1,1,2017-09-03,1858,Terra,MODIS,83,6.1,300.8,34.7,0
36.197,-118.634,309.6,1.6,1.2,2017-09-03,0932,Aqua,MODIS,10,6.1,293.1,15.5,0
36.126,-118.731,326.3,1.6,1.2,2017-09-03,0932,Aqua,MODIS,0,6.1,296.2,38.2,0
36.111,-118.686,327.8,1,1,2017-09-04,0601,Terra,MODIS,0,6.1,285,25.1,0
36.123,-118.667,316,1,1,2017-09-04,0601,Terra,MODIS,53,6.1,276.6,14.3,0
36.126,-118.674,332.8,3.9,1.8,2017-09-04,1802,Terra,MODIS,61,6.1,282.7,204,0
36.101,-118.633,326.7,3.8,1.8,2017-09-04,1802,Terra,MODIS,51,6.1,280.7,157.3,0
36.102,-118.678,384.4,1.2,1.1,2017-09-04,2118,Aqua,MODIS,100,6.1,306.1,203.7,0
36.125,-118.654,380.5,1.2,1.1,2017-09-04,2118,Aqua,MODIS,92,6.1,303.4,184.1,0
36.134,-118.655,359.5,1.2,1.1,2017-09-04,2118,Aqua,MODIS,77,6.1,303,93.1,0
36.127,-118.651,340.5,1,1,2017-09-05,1845,Terra,MODIS,87,6.1,300.4,37.5,0
36.119,-118.645,333,2.4,1.5,2017-09-05,0919,Aqua,MODIS,100,6.1,294.6,120.7,0
36.108,-118.669,311.7,2.5,1.5,2017-09-05,0919,Aqua,MODIS,83,6.1,292.7,37.4,0
36.124,-118.65,324.5,2.4,1.5,2017-09-05,0920,Aqua,MODIS,100,6.1,294.6,81.4,0
36.122,-118.624,305.7,2.4,1.5,2017-09-05,0920,Aqua,MODIS,56,6.1,292,25.3,0
36.112,-118.674,312.4,2.5,1.5,2017-09-05,0920,Aqua,MODIS,85,6.1,292.8,38.9,0
36.11,-118.648,311.1,2.4,1.5,2017-09-05,0920,Aqua,MODIS,73,6.1,292.9,36.1,0
36.101,-118.786,325.4,3.4,1.7,2017-09-05,2023,Aqua,MODIS,32,6.1,295.4,81.4,0
36.097,-118.733,300.5,1.2,1.1,2017-09-06,0548,Terra,MODIS,28,6.1,289.8,4.1,0
36.121,-118.647,321.2,1.2,1.1,2017-09-06,0548,Terra,MODIS,100,6.1,291.7,23.2,0
36.126,-118.641,307.4,1.2,1.1,2017-09-06,0548,Terra,MODIS,71,6.1,290.4,10.3,0
36.155,-118.633,305.5,1.1,1,2017-09-06,1002,Aqua,MODIS,65,6.1,290.7,8.9,0
36.126,-118.748,304.7,1.1,1,2017-09-06,1002,Aqua,MODIS,61,6.1,293.7,6.4,0
36.095,-118.735,304.7,1.1,1,2017-09-06,1002,Aqua,MODIS,61,6.1,290.2,7.2,0
36.102,-118.781,354.7,1,1,2017-09-06,2105,Aqua,MODIS,97,6.1,309.2,59.5,0
36.112,-118.772,362.1,1,1,2017-09-06,2105,Aqua,MODIS,100,6.1,305,79.3,0
36.111,-118.783,331.5,1,1,2017-09-06,2105,Aqua,MODIS,54,6.1,308.1,16.2,0
36.149,-118.644,354,1,1,2017-09-06,2105,Aqua,MODIS,84,6.1,296.1,65.5,0
36.099,-118.776,303.4,2.1,1.4,2017-09-07,0631,Terra,MODIS,55,6.1,291.9,14.7,0
36.111,-118.646,323.9,1.7,1.3,2017-09-08,0536,Terra,MODIS,100,6.1,289.1,50.2,0
36.108,-118.663,308,1.7,1.3,2017-09-08,0536,Terra,MODIS,73,6.1,288.2,20.2,0
36.107,-118.653,322.8,1.9,1.3,2017-09-08,1916,Terra,MODIS,67,6.1,293.7,44.6,0
36.142,-118.634,321.3,1.2,1.1,2017-09-08,2053,Aqua,MODIS,53,6.1,295,19,0
36.152,-118.635,341,1.2,1.1,2017-09-08,2053,Aqua,MODIS,88,6.1,296,51.4,0
36.098,-118.762,311.4,1.4,1.2,2017-09-09,0619,Terra,MODIS,82,6.1,289.5,17.2,0
36.118,-118.612,310.8,3,1.6,2017-09-09,1033,Aqua,MODIS,64,6.1,286.8,56.8,0
36.088,-118.767,338.7,2.1,1.4,2017-09-09,2136,Aqua,MODIS,86,6.1,299.8,96.7,0
36.107,-118.66,319.6,2.7,1.6,2017-09-10,0524,Terra,MODIS,99,6.1,282.4,79.6,0
36.123,-118.627,333.9,1.3,1.1,2017-09-10,1904,Terra,MODIS,81,6.1,291.4,43.6,0
36.106,-118.648,349.7,1.3,1.1,2017-09-10,1904,Terra,MODIS,94,6.1,298.5,81.4,0
36.095,-118.761,320.6,1.3,1.1,2017-09-10,1904,Terra,MODIS,35,6.1,300.4,14.8,0
36.154,-118.633,312.7,1.3,1.1,2017-09-10,0938,Aqua,MODIS,85,6.1,289,18,0
36.122,-118.625,332.4,1.3,1.1,2017-09-10,0938,Aqua,MODIS,100,6.1,291.2,46.6,0
36.105,-118.654,348.5,1.3,1.1,2017-09-10,0938,Aqua,MODIS,100,6.1,294.3,85.5,0
36.103,-118.669,332.3,1,1,2017-09-11,0607,Terra,MODIS,100,6.1,281.7,33.5,0
36.081,-118.679,356.6,1.4,1.2,2017-09-11,2124,Aqua,MODIS,98,6.1,304.5,114.1,0
36.091,-118.682,342,1.4,1.2,2017-09-11,2124,Aqua,MODIS,89,6.1,304.6,63.8,0
36.081,-118.669,328.8,1,1,2017-09-12,1852,Terra,MODIS,57,6.1,298.3,19.8,0
36.086,-118.687,300.3,1,1,2017-09-13,0554,Terra,MODIS,13,6.1,289.7,4.2,0
36.123,-118.745,307.8,1,1,2017-09-13,0554,Terra,MODIS,73,6.1,292.6,8.4,0
36.087,-118.676,302.7,1.3,1.1,2017-09-13,1009,Aqua,MODIS,49,6.1,288.5,8.1,0
36.118,-118.733,332,1,1,2017-09-13,2111,Aqua,MODIS,75,6.1,304.9,25.8,0
36.148,-118.645,325.4,1,1,2017-09-13,2111,Aqua,MODIS,61,6.1,298.6,17.6,0
36.153,-118.663,321.2,1,1,2017-09-13,2111,Aqua,MODIS,29,6.1,299.8,12.5,0
36.073,-118.713,319.6,2.7,1.6,2017-09-16,2142,Aqua,MODIS,37,6.1,292.3,52.8,0
36.058,-118.738,310.8,2.2,1.4,2017-09-17,0530,Terra,MODIS,33,6.1,289.4,30.4,0
36.076,-118.717,335.1,1.4,1.2,2017-09-17,2047,Aqua,MODIS,76,6.1,298.9,49.2,0
36.073,-118.733,328.7,1.4,1.2,2017-09-17,2047,Aqua,MODIS,56,6.1,298.8,32.3,0
36.086,-118.706,323.8,1.7,1.3,2017-09-18,2130,Aqua,MODIS,49,6.1,294.8,36.3,0
36.084,-118.724,346.9,1.7,1.3,2017-09-18,2130,Aqua,MODIS,92,6.1,297.1,107,0
36.082,-118.735,307.4,1,1,2017-09-29,0554,Terra,MODIS,71,6.1,288.3,9.5,0
36.08,-118.703,325.6,1,1,2017-09-29,2111,Aqua,MODIS,69,6.1,299.8,19,0
35.338,-118.801,334.9,1.5,1.2,2017-10-03,2047,Aqua,MODIS,85,6.1,307.5,45.6,0
36.633,-119.536,321,2.2,1.4,2017-09-09,1821,Terra,MODIS,52,6.1,299.6,25.9,0
36.7,-119.494,329,1,1,2017-09-29,2112,Aqua,MODIS,78,6.1,302.8,18.7,0
36.666,-119.436,382.2,1.1,1,2017-10-23,1845,Terra,MODIS,100,6.1,302,170.3,0
36.664,-119.424,351.8,1.1,1,2017-10-23,1845,Terra,MODIS,96,6.1,300.2,65.5,0
36.664,-119.45,313,3.6,1.8,2017-10-23,2023,Aqua,MODIS,58,6.1,299.8,42.7,0
36.65,-119.522,318.8,1.3,1.1,2017-11-04,1909,Terra,MODIS,79,6.1,289.1,26.6,0
36.629,-119.535,322.1,1,1,2017-11-09,2106,Aqua,MODIS,80,6.1,295.2,15.8,0
36.631,-119.512,320,1,1,2018-02-20,2112,Aqua,MODIS,79,6.1,295.9,14.4,0
36.666,-119.482,316.8,1.1,1,2018-04-11,2100,Aqua,MODIS,66,6.1,300.2,7.7,0
36.014,-118.283,319.5,1.3,1.1,2018-05-31,2048,Aqua,MODIS,41,6.1,299.5,17.8,0
37.798,-119,311.3,3.2,1.7,2017-09-29,1934,Terra,MODIS,71,6.1,291.9,44.8,0
37.79,-118.965,310.9,3.2,1.7,2017-09-29,1934,Terra,MODIS,58,6.1,292.3,39.3,0
37.786,-118.973,336.5,2,1.4,2017-10-05,2035,Aqua,MODIS,88,6.1,294.2,97.4,0
37.782,-118.996,320.9,2,1.4,2017-10-05,2035,Aqua,MODIS,74,6.1,298.2,46,0
37.719,-118.901,341.6,1,1,2018-04-24,1852,Terra,MODIS,90,6.1,306.3,35.5,0
37.718,-118.89,326.6,1,1,2018-04-24,1852,Terra,MODIS,70,6.1,307.5,13.3,0
37.707,-118.9,325.2,1.1,1,2018-04-25,2113,Aqua,MODIS,68,6.1,311.4,10.7,0
37.791,-118.986,322.3,1.2,1.1,2018-04-26,1839,Terra,MODIS,69,6.1,304.5,12.5,0
37.789,-118.973,329.7,1.2,1.1,2018-04-26,1839,Terra,MODIS,79,6.1,304.1,23,0
37.726,-118.991,361,1,1,2018-06-05,2106,Aqua,MODIS,100,6.1,311.4,74,0
37.724,-119.002,397.7,1,1,2018-06-05,2106,Aqua,MODIS,100,6.1,322.8,225.5,0
37.723,-119.013,328.8,1,1,2018-06-05,2106,Aqua,MODIS,70,6.1,310.4,13.4,0
37.728,-118.994,317,1.2,1.1,2018-06-09,1904,Terra,MODIS,55,6.1,301.8,10.5,0
34.464,-119.031,349.7,1.1,1,2017-12-09,2117,Aqua,MODIS,90,6.1,299.3,64.3,0
34.475,-119.022,368.3,1.3,1.1,2017-12-15,1904,Terra,MODIS,100,6.1,301.1,155.5,0
37.447,-119.588,317.9,2.3,1.5,2017-09-01,0530,Terra,MODIS,31,6.1,291.1,50.4,0
37.441,-119.618,328.1,2.3,1.5,2017-09-01,0530,Terra,MODIS,85,6.1,290.1,85.1,0
37.46,-119.593,341.9,2.3,1.5,2017-09-01,0530,Terra,MODIS,100,6.1,293.5,151.1,0
37.451,-119.63,352.1,2.3,1.5,2017-09-01,0530,Terra,MODIS,100,6.1,292.9,217.5,0
37.484,-119.6,362.6,1.3,1.1,2017-09-01,1910,Terra,MODIS,100,6.1,299.6,127.4,0
37.482,-119.587,416.8,1.3,1.1,2017-09-01,1910,Terra,MODIS,100,6.1,308.2,529.7,0
37.457,-119.621,332.8,1.3,1.1,2017-09-01,1910,Terra,MODIS,82,6.1,301.2,35.8,0
37.45,-119.582,339,1.3,1.1,2017-09-01,1910,Terra,MODIS,87,6.1,299.3,51.5,0
37.445,-119.611,385.8,1.3,1.1,2017-09-01,1910,Terra,MODIS,100,6.1,307.8,248.4,0
37.44,-119.584,330.3,1.3,1.1,2017-09-01,1910,Terra,MODIS,79,6.1,299.2,34.3,0
37.432,-119.657,343.6,1.3,1.1,2017-09-01,1910,Terra,MODIS,91,6.1,302.8,60.1,0
37.434,-119.663,339.8,1.3,1.1,2017-09-01,1910,Terra,MODIS,88,6.1,302.8,51.8,0
37.431,-119.648,322,1.3,1.1,2017-09-01,1910,Terra,MODIS,61,6.1,301.7,17.7,0
37.48,-119.583,340.5,1.2,1.1,2017-09-01,0944,Aqua,MODIS,100,6.1,292.3,61.9,0
37.46,-119.586,319.1,1.2,1.1,2017-09-01,0944,Aqua,MODIS,98,6.1,292.4,22.9,0
37.452,-119.602,366.6,1.2,1.1,2017-09-01,0944,Aqua,MODIS,100,6.1,302.3,143.3,0
37.448,-119.662,315.7,1.3,1.1,2017-09-01,0944,Aqua,MODIS,57,6.1,293.1,16.9,0
37.447,-119.648,318.1,1.3,1.1,2017-09-01,0944,Aqua,MODIS,67,6.1,293.5,19.5,0
37.432,-119.662,335.3,1.5,1.2,2017-09-01,2047,Aqua,MODIS,77,6.1,300.5,52,0
37.456,-119.596,365.1,1.5,1.2,2017-09-01,2047,Aqua,MODIS,94,6.1,296,163.7,0
37.469,-119.583,378.8,1.5,1.2,2017-09-01,2047,Aqua,MODIS,100,6.1,301,248.2,0
37.466,-119.6,372.7,1.5,1.2,2017-09-01,2047,Aqua,MODIS,94,6.1,301.1,206.7,0
37.477,-119.604,359.4,1.5,1.2,2017-09-01,2047,Aqua,MODIS,99,6.1,295,137.6,0
37.476,-119.574,337.9,1.5,1.2,2017-09-01,2047,Aqua,MODIS,84,6.1,298.1,59.6,0
37.483,-119.595,337.5,1.5,1.2,2017-09-01,2047,Aqua,MODIS,84,6.1,295.4,61.3,0
37.437,-119.61,339,1.1,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,298.7,46.9,0
37.436,-119.621,310.2,1.1,1.1,2017-09-02,0613,Terra,MODIS,52,6.1,294.1,9.1,0
37.43,-119.67,306,1.1,1,2017-09-02,0613,Terra,MODIS,44,6.1,293,6.2,0
37.447,-119.611,341.4,1.1,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,298.9,50.8,0
37.439,-119.672,321.4,1.1,1,2017-09-02,0613,Terra,MODIS,100,6.1,293.2,19.8,0
37.47,-119.578,315.7,1.1,1.1,2017-09-02,0613,Terra,MODIS,74,6.1,290.4,15.6,0
37.485,-119.575,324.8,1.1,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,290.3,26.9,0
37.482,-119.599,324.5,1.1,1.1,2017-09-02,0613,Terra,MODIS,100,6.1,293.9,25.9,0
